General Administration and Support Services Group
Office of the Assistant Secretary of GASSG
Administrative Service
Human Resource Management and Development Service
Financial Service
Legal Service
Policy and Planning Group
Office of the Assistant Secretary for Social Protection Policy
Social Registry Office
Office of the Assistant Secretary for Planning
Policy Development and Planning Bureau
Internal Audit and Management Service
Innovations and Program Development Group
Office of the Assistant Secretary of IPDG
Food Stamp Program
BangUn Program
EPAHP Program
Office of Director V for Program Development
Social Technology Bureau
Pag-Abot Program
Tara Basa! Program
Operations Group
Office of the Assistant Secretary for Protective Programs
Protective Services Bureau
Center Development Office
Crisis Intervention Program
Office of the Assistant Secretary for Promotive Programs
Sustainable Livelihood Program-NPMO
KALAHI-CIDSS NPMO
Office of the Assistant Secretary for Special Concerns
Disaster Response Management Group
Office of the Assistant Secretary of DRMG
Disaster Response and Management Bureau
Office of the Director V
National Resource and Logistics Management Bureau
Office of the Secretary Group
Office of the Assistant Secretary for Community Engagement
Office of the Assistant Secretary for Partnership Building for Resource Mobilization
Office of the Assistant Secretary for ICT & Chief Information Officer
Information and Communications Technology Management Service
Strategic Communications
Traditional Media Service
Digital Media Service
Public Relations Service
Legislative and Intergovernmental Affairs Group
Office of the Assistant Secretary of LIAG
Department Legislative Liaison Office
Regulatory Services and Institutional Development Group
Office of the Assistant Secretary of RSIDG
Standards Bureau
DSWD Academy
Conditional Cash Transfer Group
Office of the Assistant Secretary for Operations
Office of the Assistant Secretary for Support to Operations & New Initiatives
Pantawid Pamilyang Pilipino Program
Peace and Development Group
Peace and Development Buong Bansa Mapayapa NPMO
